isim,dogum_yil,dogum_enlem,dogum_boylam,olum_yil,olum_enlem,olum_boylam,zorluk
Augustus,-63,41.8919,12.5113,14,40.9325,14.4358,Zor
Hannibal Barca,-247,36.8529,10.3217,-182,40.7811,29.5100,Zor
Attila,406,47.0000,28.0000,453,47.5000,19.0500,Orta
Selahaddin Eyyubi,1137,34.6083,43.6833,1193,33.5138,36.2962,Orta
I. Elizabeth,1533,51.4833,0.0000,1603,51.4833,-0.3000,Orta
Vladimir Lenin,1870,54.3167,48.3667,1924,55.5000,37.6667,Orta
John F. Kennedy,1917,42.3314,-71.1211,1963,32.7767,-96.7970,Orta
Sokrates,-469,37.9838,23.7275,-399,37.9838,23.7275,Kolay
Platon,-427,37.9838,23.7275,-347,37.9838,23.7275,Orta
Aristoteles,-384,40.5281,23.7928,-322,38.4149,23.5910,Kolay
Karl Marx,1818,49.7567,6.6414,1883,51.5074,-0.1278,Orta
Friedrich Nietzsche,1844,51.2427,12.1008,1900,50.9803,11.3297,Zor
Immanuel Kant,1724,54.7104,20.4522,1804,54.7104,20.4522,Zor
René Descartes,1596,46.9947,0.6989,1650,59.3293,18.0686,Zor
Jean-Jacques Rousseau,1712,46.2044,6.1432,1778,49.1214,2.5831,Zor
Konfüçyüs,-551,35.5902,116.9856,-479,35.5902,116.9856,Orta
Niccolò Machiavelli,1469,43.7696,11.2558,1527,43.7696,11.2558,Zor
John Locke,1632,51.3475,-2.5119,1704,51.7589,0.1601,Zor
Max Weber,1864,50.9781,11.0292,1920,48.1351,11.5820,Zor
Leonardo da Vinci,1452,43.7806,10.9244,1519,47.3944,0.9856,Kolay
Michelangelo,1475,43.6414,11.8817,1564,41.8919,12.5113,Kolay
Vincent van Gogh,1853,51.4517,4.6625,1890,49.0722,2.1742,Kolay
Pablo Picasso,1881,36.7213,-4.4214,1973,43.6007,7.0084,Kolay
Wolfgang Amadeus Mozart,1756,47.8021,13.0445,1791,48.2082,16.3738,Kolay
Ludwig van Beethoven,1770,50.7374,7.0982,1827,48.2082,16.3738,Kolay
Johann Sebastian Bach,1685,50.9781,11.0292,1750,51.3396,12.3731,Orta
William Shakespeare,1564,52.1917,-1.7083,1616,52.1917,-1.7083,Kolay
Fyodor Dostoyevski,1821,55.7558,37.6173,1881,59.9343,30.3351,Orta
Lev Tolstoy,1828,54.0672,37.5258,1910,53.2208,38.6744,Orta
Dante Alighieri,1265,43.7696,11.2558,1321,44.4184,12.2035,Zor
Franz Kafka,1883,50.0755,14.4378,1924,48.3125,16.2553,Orta
Victor Hugo,1802,47.2378,6.0244,1885,48.8566,2.3522,Orta
Charles Dickens,1812,50.7989,-1.0912,1870,51.3656,0.4939,Zor
Mark Twain,1835,39.4427,-91.7267,1910,41.2644,-73.3614,Orta
Edgar Allan Poe,1809,42.3601,-71.0589,1849,39.2904,-76.6122,Zor
Jane Austen,1775,51.2667,-1.1833,1817,51.0632,-1.3078,Zor
George Orwell,1903,24.0139,84.9164,1950,51.5074,-0.1278,Orta
Frida Kahlo,1907,19.3552,-99.1625,1954,19.3552,-99.1625,Kolay
Rembrandt,1606,52.1601,4.4970,1669,52.3676,4.9041,Zor
Claude Monet,1840,48.8566,2.3522,1926,49.0753,1.5314,Zor
Frédéric Chopin,1810,52.2572,20.3167,1849,48.8566,2.3522,Zor
Antonio Vivaldi,1678,45.4343,12.3388,1741,48.2082,16.3738,Zor
Goethe,1749,50.1109,8.6821,1832,50.9803,11.3297,Zor
Cervantes,1547,40.4820,-3.3596,1616,40.4168,-3.7038,Zor
Ernest Hemingway,1899,41.8781,-87.6298,1961,43.5200,-114.3153,Zor
Kristof Kolomb,1451,44.4056,8.9463,1506,41.6522,-4.7245,Kolay
Vasco da Gama,1460,37.9561,-8.8697,1524,9.9816,76.2711,Orta
Ferdinand Macellan,1480,41.1496,-7.9156,1521,10.2444,123.9519,Orta
Marco Polo,1254,45.4343,12.3388,1324,45.4343,12.3388,Orta
Neil Armstrong,1930,40.5678,-84.1936,2012,39.1031,-84.5120,Kolay
Yuri Gagarin,1934,55.5500,35.0500,1968,56.1667,38.8667,Kolay
Che Guevara,1928,-32.9468,-60.6393,1967,-18.8000,-64.1333,Orta
Martin Luther King Jr,1929,33.7550,-84.3736,1968,35.1495,-90.0490,Orta
Rahibe Teresa,1910,42.0000,21.4333,1997,22.5726,88.3639,Orta
Florence Nightingale,1820,43.7696,11.2558,1910,51.5074,-0.1278,Zor
Marie Antoinette,1755,48.2082,16.3738,1793,48.8566,2.3522,Orta
İbn Battuta,1304,35.7595,-5.8340,1369,31.6295,-7.9811,Zor
Amelia Earhart,1897,39.5633,-95.1216,1937,0.8073,-176.6173,Zor
Rosa Parks,1913,32.4230,-85.6946,2005,42.3314,-83.0458,Zor
